TSLF,FireYear,Assessment_Year,ObsArea_Whole,ObsArea_Subset,Check_ObsPercent_Whole,Check_ObsPercent_Subset,Check_Exp_MINInterval,Check_Exp_MAXInterval,,
1,2004,2005,4.394678703,0.00219102,2.424568712,0.012123923,16.66666667,6.666666667,,
2,2003,2005,0.845771868,0.088682699,0.466617049,0.49072219,13.88888889,6.222222222,,
3,2002,2005,4.048071147,1.46787164,2.233343394,8.122409344,11.57407407,5.807407407,,
4,2001,2005,39.27549186,11.97243236,21.66850756,66.24897831,9.645061728,5.420246914,,
5,2000,2005,0.064462996,0,0.035564594,0,8.03755144,5.058897119,,
6,1999,2005,0.305023047,0,0.168282913,0,6.697959534,4.721637311,,
7,1998,2005,0.503960983,0.147336342,0.278038081,0.815279789,5.581632945,4.406861491,,
8,1997,2005,1.587169922,1.404126468,0.875650484,7.769677968,4.651360787,4.113070725,,
9,1996,2005,0.337935477,0.003913751,0.186440885,0.021656588,3.876133989,3.83886601,,
10,1995,2005,0.068072812,0.022061179,0.03755615,0.122074655,3.230111658,3.582941609,,
11,1994,2005,0.610472086,0.172076457,0.336800849,0.952178231,2.691759715,3.344078835,,
12,1993,2005,0.16429154,0.026181868,0.090640557,0.144876328,2.243133096,3.121140246,,
13,1992,2005,0.000993815,0.000604404,0.000548293,0.003344444,1.86927758,2.91306423,,
14,1991,2005,0.884672172,0,0.488078564,0,1.557731316,2.718859948,,
15,1990,2005,0.089166168,8.33591E-06,0.049193472,4.61264E-05,1.29810943,2.537602618,,
16,1989,2005,0.197393858,0,0.108903291,0,1.081757859,2.36842911,,
17,1988,2005,0.424863009,0,0.234399288,0,0.901464882,2.210533836,,
18,1987,2005,0,0,0,0,0.751220735,2.063164914,,
19,1986,2005,0.422999926,0,0.233371415,0,0.626017279,1.925620586,,
20,1985,2005,4.794709947,0.179083787,2.645268177,0.990953014,0.521681066,1.79724588,,
21,1984,2005,2.058116291,0.346958238,1.135474218,1.919879609,0.434734222,1.677429488,,
22,1983,2005,0.003188851,0,0.001759307,0,0.362278518,1.565600856,,
23,1982,2005,0.036468948,0.000457078,0.020120122,0.002529223,0.301898765,1.461227465,,
24,1981,2005,0,0,0,0,0.251582304,1.363812301,,
25,1980,2005,0.031422286,0.016575145,0.01733585,0.091717904,0.20965192,1.272891481,,
26,1979,2005,0,0,0,0,0.174709934,1.188032049,,
27,1978,2005,0.086097124,0.065379401,0.047500263,0.361774315,0.145591611,1.108829912,,
28,1977,2005,1.51848116,0,0.837754511,0,0.121326343,1.034907918,,
29,1976,2005,0,0,0,0,0.101105286,0.965914057,,
30,1975,2005,0,0,0,0,0.084254405,0.901519786,,
31,1974,2005,0.12448086,0,0.068676783,0,0.070212004,0.841418467,,
32,1973,2005,0,0,0,0,0.058510003,0.785323903,,
33,1972,2005,0,0,0,0,0.048758336,0.732968976,,
34,1971,2005,0,0,0,0,0.040631947,0.684104378,,
35,1970,2005,0,0,0,0,0.033859956,0.638497419,,
36,1969,2005,0,0,0,0,0.02821663,0.595930924,,
37,1968,2005,1.415661243,0,0.781028191,0,0.023513858,0.556202196,,
38,1967,2005,0,0,0,0,0.019594882,0.51912205,,
39,1966,2005,0,0,0,0,0.016329068,0.484513913,,
40,1965,2005,0,0,0,0,0.013607557,0.452212986,,
41,1964,2005,0.017675495,0,0.009751669,0,0.011339631,0.422065453,,
42,1963,2005,0,0,0,0,0.009449692,0.393927756,,
43,1962,2005,0,0,0,0,0.007874743,0.367665906,,
44,1961,2005,0,0,0,0,0.006562286,0.343154846,,
45,1960,2005,0,0,0,0,0.005468572,0.320277856,,
46,1959,2005,0,0,0,0,0.004557143,0.298925999,,
47,1958,2005,0,0,0,0,0.003797619,0.278997599,,
48,1957,2005,0,0,0,0,0.003164683,0.260397759,,
49,1956,2005,0,0,0,0,0.002637236,0.243037908,,
50,1955,2005,0,0,0,0,0.002197696,0.226835381,,
51,1954,2005,0,0,0,0,0.001831414,0.211713022,,
52,1953,2005,0,0,0,0,0.001526178,0.197598821,,
53,1952,2005,0,0,0,0,0.001271815,0.184425566,,
54,1951,2005,0,0,0,0,0.001059846,0.172130528,,
55,1950,2005,0,0,0,0,0.000883205,0.16065516,,
Unknown,Unknown,2005,116.944307,2.15593454,64.51882535,11.92977804,0.004416024,2.249172238,,
6,1999,2000,0.582472135,0.087288075,0.32135312,0.483005076,16.66666667,6.666666667,,
7,1998,2000,0.559681983,0.199834855,0.308779667,1.105778193,13.88888889,6.222222222,,
8,1997,2000,13.43468778,8.209655942,7.411992057,45.4278034,11.57407407,5.807407407,,
9,1996,2000,0.749315233,0.295671603,0.413401386,1.636087014,9.645061728,5.420246914,,
10,1995,2000,0.264941729,0.071443029,0.146169827,0.395327148,8.03755144,5.058897119,,
11,1994,2000,1.474659417,0.568169686,0.813577812,3.143944275,6.697959534,4.721637311,,
12,1993,2000,2.924984842,1.486519671,1.613730425,8.225597256,5.581632945,4.406861491,,
13,1992,2000,0.527616067,0.131633512,0.291088722,0.728388786,4.651360787,4.113070725,,
14,1991,2000,0.998421645,0,0.550834781,0,3.876133989,3.83886601,,
15,1990,2000,4.294075311,0.43722627,2.369065261,2.419374112,3.230111658,3.582941609,,
16,1989,2000,0.27833998,0.001843015,0.153561717,0.010198252,2.691759715,3.344078835,,
17,1988,2000,0.429070265,1.53598E-05,0.236720454,8.49927E-05,2.243133096,3.121140246,,
18,1987,2000,0.156999372,0.043891502,0.086617428,0.242871875,1.86927758,2.91306423,,
19,1986,2000,1.251226136,0.063866151,0.690308427,0.353400795,1.557731316,2.718859948,,
20,1985,2000,6.929448251,1.532439856,3.823015187,8.479694764,1.29810943,2.537602618,,
21,1984,2000,2.866977694,0.347458936,1.581727559,1.922650151,1.081757859,2.36842911,,
22,1983,2000,0.005876997,0,0.003242372,0,0.901464882,2.210533836,,
23,1982,2000,0.608109101,0.181018529,0.335497177,1.001658802,0.751220735,2.063164914,,
24,1981,2000,0,0,0,0,0.626017279,1.925620586,,
25,1980,2000,0.596752277,0.188523417,0.329231554,1.043186804,0.521681066,1.79724588,,
26,1979,2000,0.299911609,0.146461537,0.165462905,0.810439069,0.434734222,1.677429488,,
27,1978,2000,0.087237175,0.065379401,0.048129235,0.361774305,0.362278518,1.565600856,,
28,1977,2000,2.463998108,0.029091925,1.359401477,0.160979003,0.301898765,1.461227465,,
